move_name,move_id,Unnamed: 0,accuracy,damage_class,effect_chance,effect,power,pp,priority,short_effect,target,move_type,type_name,type_id
multi-attack,718,717,100.0,physical,,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",120.0,10.0,0,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",selected-pokemon,normal,normal,19
shell-trap,704,703,100.0,special,,Only inflicts damage if the user was hit by a physical move this turn.,150.0,5.0,-3,Only inflicts damage if the user was hit by a physical move this turn.,all-opponents,fire,fire,14
zing-zap,716,715,100.0,physical,30.0,Has a 30% chance to make the target flinch.,80.0,10.0,0,Has a 30% chance to make the target flinch.,selected-pokemon,electric,electric,13
anchor-shot,677,676,100.0,physical,,Traps the target.,80.0,20.0,0,Traps the target.,selected-pokemon,steel,steel,9
clanging-scales,691,690,100.0,special,100.0,Lowers the user's Defense by one stage after inflicting damage.,110.0,5.0,0,Lowers the user's Defense by one stage after inflicting damage.,all-opponents,dragon,dragon,15
natures-madness,717,716,90.0,special,,Inflicts damage equal to half the target's HP.,,10.0,0,Inflicts damage equal to half the target's HP.,selected-pokemon,fairy,fairy,5
sunsteel-strike,713,712,100.0,physical,,Cannot be disrupted by abilities.,100.0,5.0,0,Cannot be disrupted by abilities.,selected-pokemon,steel,steel,9
moongeist-beam,714,713,100.0,special,,Cannot be disrupted by abilities.,100.0,5.0,0,Cannot be disrupted by abilities.,selected-pokemon,ghost,ghost,17
prismatic-laser,711,710,100.0,special,,User foregoes its next turn to recharge.,160.0,10.0,0,User foregoes its next turn to recharge.,selected-pokemon,psychic,psychic,8
photon-geyser,722,721,100.0,special,,Inflicts regular damage with no additional effect.,100.0,5.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,psychic,psychic,8
fleur-cannon,705,704,90.0,special,100.0,Lowers the user's Special Attack by two stages after inflicting damage.,130.0,5.0,0,Lowers the user's Special Attack by two stages after inflicting damage.,selected-pokemon,fairy,fairy,5
spectral-thief,712,711,100.0,physical,,"Steals the target's stat increases, then inflicts damage.",90.0,10.0,0,"Steals the target's stat increases, then inflicts damage.",selected-pokemon,ghost,ghost,17
mind-blown,720,719,100.0,special,,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.",150.0,5.0,0,"Inflicts damage, and the user takes damage equal to half of its max HP, rounded up.",all-other-pokemon,fire,fire,14
plasma-fists,721,720,100.0,physical,,Inflicts regular damage with no additional effect.,100.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,electric,electric,13
double-iron-bash,742,741,100.0,physical,30.0,Hits twice in one turn.,60.0,5.0,0,Hits twice in one turn.,selected-pokemon,steel,steel,9
drum-beating,778,766,100.0,physical,100.0,Has a 100% chance to lower the target's Speed by one stage.,80.0,10.0,0,Has a 100% chance to lower the target's Speed by one stage.,selected-pokemon,grass,grass,6
pyro-ball,780,768,90.0,physical,10.0,Has a 10% chance to burn the target.,120.0,5.0,0,Has a 10% chance to burn the target.,selected-pokemon,fire,fire,14
snipe-shot,745,744,100.0,special,,Sets Reflect on the user's side of the field after inflicting damage.,80.0,15.0,0,Sets Reflect on the user's side of the field after inflicting damage.,selected-pokemon,water,water,12
jaw-lock,746,745,100.0,physical,,Seeds the target after inflicting damage.,80.0,10.0,0,Seeds the target after inflicting damage.,selected-pokemon,dark,dark,16
grav-apple,788,771,100.0,physical,100.0,Lowers the target's Defense by one stage after inflicting damage.,80.0,10.0,0,Lowers the target's Defense by one stage after inflicting damage.,selected-pokemon,grass,grass,6
false-surrender,793,774,,physical,,Hits Pokémon under the effects of dig and fly. Additionally; Never misses.,80.0,10.0,0,Never misses.,selected-pokemon,dark,dark,16
spirit-break,789,772,100.0,physical,100.0,Has a 100% chance to lower the target's Special Attack by one stage.,75.0,15.0,0,Has a 100% chance to lower the target's Special Attack by one stage.,selected-pokemon,fairy,fairy,5
meteor-assault,794,775,100.0,physical,,User foregoes its next turn to recharge.,150.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,fighting,fighting,7
no-retreat,748,747,,status,100.0,"Hits twice in one turn, with a 100% chance to make the target flinch.",,5.0,0,"Hits twice in one turn, with a 100% chance to make the target flinch.",user,fighting,fighting,7
dynamax-cannon,744,743,100.0,special,,Sets Light Screen on the user's side of the field after inflicting damage.,100.0,5.0,0,Sets Light Screen on the user's side of the field after inflicting damage.,selected-pokemon,dragon,dragon,15
eternabeam,795,776,90.0,special,,User foregoes its next turn to recharge.,160.0,5.0,0,User foregoes its next turn to recharge.,selected-pokemon,dragon,dragon,15
wicked-blow,817,798,100.0,physical,,Inflicts regular damage with no additional effect.,75.0,5.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,dark,dark,16
jungle-healing,816,797,,status,,Inflicts regular damage with no additional effect.,,10.0,0,Inflicts regular damage with no additional effect.,user-and-allies,grass,grass,6
thunder-cage,819,800,90.0,special,100.0,Inflicts regular damage with no additional effect.,80.0,15.0,0,Inflicts regular damage with no additional effect.,selected-pokemon,electric,electric,13
dragon-energy,820,801,100.0,special,,Inflicts regular damage with no additional effect.,150.0,5.0,0,Inflicts regular damage with no additional effect.,all-opponents,dragon,dragon,15
